"Time (s),""Gyroscope x (rad/s)"",""Gyroscope y (rad/s)"",""Gyroscope z (rad/s)"""
3.653170138E0,3.352123126E-2,3.620140254E-1,-2.942079604E-1
3.663170138E0,-6.788240373E-2,2.691625059E-1,-4.151592851E-1
3.673170138E0,-1.631773859E-1,1.213331074E-1,-4.621959031E-1
3.683170138E0,-2.590832114E-1,-5.215261877E-2,-4.603633285E-1
3.693170138E0,-3.299435973E-1,-1.798234582E-1,-4.176027477E-1
3.703170138E0,-3.641520441E-1,-2.598468065E-1,-3.388011456E-1
3.713170138E0,-3.470478058E-1,-3.386484087E-1,-2.685516477E-1
3.723170138E0,-2.621375620E-1,-4.907538593E-1,-2.166280895E-1
3.733170138E0,-2.157117873E-1,-5.897140503E-1,-1.421025246E-1
3.743170138E0,-2.108248621E-1,-5.646685362E-1,-9.078984708E-2
3.753170138E0,-2.260964960E-1,-4.223369658E-1,-6.024658307E-2
3.763170138E0,-2.810743749E-1,-2.525164187E-1,-5.902485549E-2
3.773170138E0,-3.507130146E-1,-1.352302879E-1,-8.773551881E-2
